WARD_NAME;CEN_2011;EST_2015;TOT_GROWTH;ANN_GROWTH
1;26 612;29 310;10.1%;2.2%
2;29 765;30 860;3.7%;0.8%
3;25 963;26 226;1.0%;0.2%
4;33 378;35 099;5.2%;1.1%
5;24 481;25 149;2.7%;0.6%
6;36 512;44 441;21.7%;4.5%
7;27 875;31 828;14.2%;3.0%
8;29 625;31 913;7.7%;1.7%
9;31 732;32 249;1.6%;0.4%
10;31 306;31 526;0.7%;0.2%
11;33 622;34 164;1.6%;0.4%
12;35 392;36 402;2.9%;0.6%
13;47 175;51 506;9.2%;2.0%
14;38 816;42 974;10.7%;2.3%
15;22 706;25 794;13.6%;2.9%
16;42 468;49 487;16.5%;3.5%
17;40 637;41 594;2.4%;0.5%
18;26 118;27 762;6.3%;1.4%
19;54 108;56 895;5.2%;1.1%
20;40 607;43 343;6.7%;1.5%
21;22 134;22 511;1.7%;0.4%
22;31 988;30 987;-3.1%;-0.7%
23;29 183;31 113;6.6%;1.4%
24;31 830;35 095;10.3%;2.2%
25;39 069;39 552;1.2%;0.3%
26;37 711;39 008;3.4%;0.8%
27;20 344;20 502;0.8%;0.2%
28;34 457;34 933;1.4%;0.3%
29;37 490;36 920;-1.5%;-0.3%
30;37 663;38 705;2.8%;0.6%
31;33 667;33 924;0.8%;0.2%
32;43 208;51 401;19.0%;3.9%
33;38 462;40 785;6.0%;1.3%
34;33 807;34 432;1.8%;0.4%
35;40 067;62 319;55.5%;10.3%
36;31 455;31 621;0.5%;0.1%
37;22 185;23 921;7.8%;1.7%
38;23 594;24 679;4.6%;1.0%
39;29 136;29 063;-0.2%;-0.1%
40;35 085;39 845;13.6%;2.9%
41;25 004;25 227;0.9%;0.2%
42;25 297;25 973;2.7%;0.6%
43;38 022;44 909;18.1%;3.8%
44;37 447;39 031;4.2%;0.9%
45;33 149;33 834;2.1%;0.5%
46;31 529;32 614;3.4%;0.8%
47;34 625;35 167;1.6%;0.3%
48;24 187;24 556;1.5%;0.3%
49;34 155;34 714;1.6%;0.4%
50;32 290;32 638;1.1%;0.2%
51;25 966;26 482;2.0%;0.4%
52;23 550;32 818;39.4%;7.7%
53;24 927;25 289;1.5%;0.3%
54;21 780;22 294;2.4%;0.5%
55;30 693;32 253;5.1%;1.1%
56;33 643;35 438;5.3%;1.2%
57;31 144;31 783;2.1%;0.5%
58;27 087;27 310;0.8%;0.2%
59;19 114;19 954;4.4%;1.0%
60;31 679;31 829;0.5%;0.1%
61;30 675;32 460;5.8%;1.3%
62;22 245;22 769;2.4%;0.5%
63;30 817;31 173;1.2%;0.3%
64;27 987;30 102;7.6%;1.6%
65;31 119;31 459;1.1%;0.2%
66;31 084;31 292;0.7%;0.1%
67;49 031;56 100;14.4%;3.0%
68;27 115;27 348;0.9%;0.2%
69;34 858;39 741;14.0%;3.0%
70;24 934;25 583;2.6%;0.6%
71;25 431;26 325;3.5%;0.8%
72;27 506;27 705;0.7%;0.2%
73;26 027;26 911;3.4%;0.7%
74;33 427;35 255;5.5%;1.2%
75;36 876;43 623;18.3%;3.8%
76;34 848;35 357;1.5%;0.3%
77;21 928;22 345;1.9%;0.4%
78;34 139;34 481;1.0%;0.2%
79;43 551;43 839;0.7%;0.1%
80;36 837;39 660;7.7%;1.7%
81;38 801;38 918;0.3%;0.1%
82;41 382;41 799;1.0%;0.2%
83;23 495;27 477;16.9%;3.5%
84;34 259;35 922;4.9%;1.1%
85;34 598;45 847;32.5%;6.5%
86;39 290;42 733;8.8%;1.9%
87;25 838;25 380;-1.8%;-0.4%
88;44 568;48 125;8.0%;1.7%
89;32 329;35 256;9.1%;1.9%
90;22 493;21 333;-5.2%;-1.2%
91;32 263;36 632;13.5%;2.9%
92;29 927;30 444;1.7%;0.4%
93;35 310;39 245;11.1%;2.4%
94;31 604;32 288;2.2%;0.5%
95;40 449;47 952;18.5%;3.9%
96;32 030;33 007;3.0%;0.7%
97;27 839;28 265;1.5%;0.3%
98;33 595;36 041;7.3%;1.6%
99;42 322;45 705;8.0%;1.7%
100;35 156;38 182;8.6%;1.9%
101;37 084;38 950;5.0%;1.1%
102;26 837;27 705;3.2%;0.7%
103;25 434;30 542;20.1%;4.2%
104;36 974;41 545;12.4%;2.6%
105;33 106;38 458;16.2%;3.4%
106;56 926;67 896;19.3%;4.0%
107;24 893;34 660;39.2%;7.6%
108;42 049;53 590;27.4%;5.5%
109;33 307;35 388;6.2%;1.4%
110;24 906;25 063;0.6%;0.1%
111;35 105;36 201;3.1%;0.7%
112;22 194;23 165;4.4%;1.0%
113;27 905;28 248;1.2%;0.3%
114;25 341;28 046;10.7%;2.3%
115;31 083;32 067;3.2%;0.7%
116;32 072;32 887;2.5%;0.6%
